holder_id,nome,tipo,depositadas,concedidas,A_depositadas,A_concedidas,B_depositadas,B_concedidas,C_depositadas,C_concedidas,D_depositadas,D_concedidas,E_depositadas,E_concedidas,F_depositadas,F_concedidas,G_depositadas,G_concedidas,H_depositadas,H_concedidas,num_colaboradores,is_foreign,cluster
2,GE OIL GAS UK LIMITED,Company,90,73,0,0,11,11,4,4,0,0,27,26,39,38,12,11,4,4,6,1,1
5,ACLARA METERS LLC,Company,13,12,0,0,0,0,0,0,0,0,0,0,0,0,10,10,5,5,0,1,1
8,GE AVIATION SYSTEMS LLC,Company,49,14,1,0,7,2,0,0,0,0,0,0,5,2,24,7,14,6,0,1,1
10,LEGRAND FRANCE,Company,26,20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,24,20,3,1,1
11,LEGRAND SNC,Company,26,20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,24,20,3,1,1
14,AGRIGENETICS INC,Company,14,8,8,8,0,0,8,7,0,0,0,0,0,0,1,0,0,0,1,1,1
22,HEC RAST INDUSTRIA COMERCIO E SERVIÇOS AUTOMOTIVOS LTDA ME,Company,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,MITSUBA CORPORATION,Company,38,31,0,0,11,11,1,1,0,0,1,1,16,13,0,0,21,18,4,1,1
25,HYPRED,Company,3,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6,1,1
27,INSTITUTO FEDERAL DE EDUACAÇÃO CIÊNCIA E TECNOLOGIA DA BAHIA,Institution,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,HUGHES NETWORK SYSTEMS LLC,Company,161,64,1,0,1,0,0,0,0,0,1,1,1,0,11,3,146,56,21,1,1
39,GRENDENE SA,Company,51,27,31,23,8,2,2,0,0,0,0,0,1,1,1,1,0,0,7,0,1
41,WONDERLAND NURSERYGOODS COMPANY LIMITED,Company,13,12,4,4,12,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
48,MEDICAL GMBH CO KG,Company,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,1
53,HER YANG,Company,35,31,0,0,7,6,0,0,0,0,0,0,12,12,1,1,11,11,0,1,1
54,JOHNSON JOHNSON DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS PARA SAÚDE LTDA,Company,8,7,4,4,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1
67,MEGGITT AIRCRAFT BRAKING SYSTEMS,Company,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
70,ELECTROLUX DO BRASIL SA,Company,103,69,10,9,6,3,3,1,24,17,5,3,51,42,5,2,6,3,15,0,1
75,MESSIERBUGATTIDOWTY,Company,70,64,0,0,60,56,1,1,3,0,1,1,10,9,5,5,4,4,4,1,1
85,CENTRO DE PESQUISA E DESENVOLVIMENTO EM TELECOMUNICAÇÕES,Institution,252,129,3,2,5,3,1,0,0,0,1,1,2,2,112,70,137,73,53,0,1
86,SOCIAL IT PTY LTD,Company,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
87,PGS GEOPHYSICAL AS,Company,186,135,2,2,12,9,1,1,0,0,0,0,0,0,140,117,1,1,3,1,1
88,FIS FABBRICA ITALIANA SINTETICI SPA,Company,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
96,DANÇA INDÚSTRIA E AUTOMAÇÃO LTDA,Company,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
98,KARVIA DO BRASIL LTDA,Company,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102,POLPA BRASIL DESIDRATADOS LTDA ME,Company,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
105,INSTITUTO NACIONAL DE TECNOLOGIA INDUSTRIAL,Institution,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
106,MEKRA LANG GMBH CO KG,Company,21,16,0,0,20,15,0,0,0,0,0,0,7,5,2,1,3,2,1,1,1
110,METSO BRASIL INDÚSTRIA E COMÉRCIO LTDA,Company,13,8,0,0,11,7,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1
117,MIRAKULO SOFTWARE LTDA,Institution,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1
122,REMY TECHNOLOGIES LLC,Company,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
130,HOMAG HOLZBEARBEITUNGSSYSTEME GMBH,Company,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
134,ALTAVE HOLDING SA,Company,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
138,OPTICOS SRL,Company,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
142,AFTON CHEMICAL CORPORATION,Institution,42,32,0,0,0,0,35,28,0,0,0,0,2,1,1,0,0,0,0,1,1
152,COM IMPOR EXPOR E SERV PARA PURIF DE AR E ÁG,Company,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1
155,UNIVERSIDADE FEDERAL DA BAHIA,Institution,147,24,43,9,16,4,37,3,0,0,4,1,2,0,21,7,2,1,34,0,1
160,LANXESS DEUTSCHLAND GMBH,Company,106,80,20,17,17,11,82,67,0,0,1,1,0,0,1,1,2,1,6,1,1
163,UNIVERSIDADE FEDERAL DE PELOTAS,Institution,215,26,113,18,13,1,94,13,0,0,0,0,2,0,29,2,5,0,23,0,1
171,PROCOMP AMAZÔNIA INDUSTRIA ELETRÔNICA LTDA,Company,15,13,0,0,4,4,0,0,0,0,5,5,0,0,8,8,0,0,0,0,1
172,GAS TECHNOLOGY INSTITUTE,Company,19,11,0,0,3,2,11,8,0,0,0,0,2,0,0,0,0,0,0,1,1
179,CASTELL AKTIENGESELLSCHAFT,Company,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
183,KRONES AG,Institution,54,29,7,3,42,25,5,2,0,0,0,0,2,2,1,0,0,0,2,1,1
190,INDÚSTRIAS REUNIDAS COLOMBO LTDA,Company,42,33,37,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
196,BEXTRA INDÚSTRIA E COMÉRCIO DE BALANÇAS LTDA,Company,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
197,RIETER INGOLSTADT GMBH,Company,19,18,0,0,5,5,1,1,14,14,0,0,0,0,3,3,0,0,0,1,1
199,STRAUMANN HOLDING AG,Company,36,30,35,30,3,2,3,2,0,0,0,0,0,0,0,0,0,0,13,1,1
