holder_id,nome,tipo,depositadas,concedidas,A_depositadas,A_concedidas,B_depositadas,B_concedidas,C_depositadas,C_concedidas,D_depositadas,D_concedidas,E_depositadas,E_concedidas,F_depositadas,F_concedidas,G_depositadas,G_concedidas,H_depositadas,H_concedidas,cluster
60,DOW AGROSCIENCES LLC,Company,512,278,253,196,6,5,173,121,0,0,0,0,0,0,5,4,0,0,6
79,CNH INDUSTRIAL AMERICA LLC,Company,845,483,609,338,149,103,0,0,0,0,40,24,82,64,56,27,7,4,6
221,UNIVERSIDADE ESTADUAL DE CAMPINAS,Institution,950,549,307,198,132,94,272,181,9,4,10,7,19,12,197,141,72,45,6
222,UNIVERSIDADE DE SÃO PAULO,Institution,1036,615,408,293,155,110,259,176,11,4,12,8,28,21,174,123,40,30,6
231,UNIVERSIDADE FEDERAL DE MINAS GERAIS,Institution,1041,467,456,228,146,89,414,196,11,8,8,6,21,12,203,89,23,6,6
276,ETHICON ENDO,Company,428,376,365,352,6,5,2,2,0,0,0,0,4,3,4,4,8,8,6
328,DEERE COMPANY,Company,1370,667,719,363,295,138,5,3,0,0,89,22,166,90,198,84,87,54,6
606,ROHM AND HAAS COMPANY,Company,754,436,93,47,111,64,530,341,14,9,4,3,2,2,13,8,11,6,6
6580,M INNOVATIVE PROPERTIES COMPANY,Company,794,324,248,131,213,90,177,93,28,16,22,12,21,5,89,28,59,23,6
13734,LOREAL,Company,711,474,577,420,21,16,51,38,1,1,3,3,0,0,5,3,1,1,6
16355,DSM IP ASSETS BV,Company,607,282,259,122,35,28,272,144,28,20,2,2,22,18,9,1,2,2,6
20200,PALMOLIVE COMPANY,Company,420,225,298,180,12,5,55,35,2,1,0,0,0,0,11,4,2,2,6
29352,THE PROCTER GAMBLE COMPANY,Company,571,236,330,156,88,46,115,60,22,13,0,0,1,1,15,2,2,1,6
46877,ETHICON LLC,Company,794,525,695,495,11,7,4,4,4,4,0,0,0,0,66,10,55,29,6
61582,LA ROCHE AG,Company,861,291,460,169,25,8,533,186,0,0,0,0,3,2,165,52,3,0,6
79188,NOVARTIS AG,Company,726,257,494,204,4,4,354,148,0,0,0,0,2,0,18,8,1,0,6
79409,UNILEVER NV,Company,530,323,278,187,60,44,151,91,33,12,0,0,2,2,21,7,0,0,6
79434,KONINKLIJKE PHILIPS NV,Company,1232,568,443,227,148,88,31,11,20,19,5,0,39,22,372,184,274,129,6
79547,MICROSOFT TECHNOLOGY LICENSING LLC,Company,745,427,14,10,4,2,1,0,0,0,1,1,3,3,468,316,204,148,6
79552,BECTON DICKINSON AND COMPANY,Company,715,430,604,356,70,59,25,19,0,0,0,0,11,5,61,43,3,2,6
80315,CLARK WORLDWIDE INC,Company,862,671,538,447,216,173,90,73,153,117,2,2,8,8,49,34,5,2,6
80986,PHILIP MORRIS PRODUCTS SA,Person,983,486,842,407,116,78,18,7,7,4,0,0,8,4,24,9,65,30,6
81850,SOCIETE DES PRODUITS NESTLE SA,Company,700,273,509,228,91,42,41,11,3,0,0,0,5,4,36,15,2,1,6
82156,UNILEVER IP HOLDINGS BV,Company,815,470,438,257,74,49,309,185,20,10,1,0,6,1,13,9,0,0,6
